Date,Country,ProductID,Shop,Gender,Size (US),UnitPrice,Discount,Year,Month,SalePrice
1/1/14,United Kingdom,2152,UK2,Male,11,$159.00 ,0%,2014,1,$159.00 
1/1/14,United States,2230,US15,Male,11.5,$199.00 ,20%,2014,1,$159.20 
1/1/14,Canada,2160,CAN7,Male,9.5,$149.00 ,20%,2014,1,$119.20 
1/1/14,United States,2234,US6,Female,9.5,$159.00 ,0%,2014,1,$159.00 
1/1/14,United Kingdom,2222,UK4,Female,9,$159.00 ,0%,2014,1,$159.00 
1/1/14,United States,2173,US15,Male,10.5,$159.00 ,0%,2014,1,$159.00 
1/2/14,Germany,2200,GER2,Female,9,$179.00 ,0%,2014,1,$179.00 
1/2/14,Canada,2238,CAN5,Male,10,$169.00 ,0%,2014,1,$169.00 
1/2/14,United States,2191,US13,Male,10.5,$139.00 ,0%,2014,1,$139.00 
1/2/14,United Kingdom,2237,UK1,Female,9,$149.00 ,0%,2014,1,$149.00 
1/2/14,United States,2197,US1,Male,10,$129.00 ,0%,2014,1,$129.00 
1/2/14,United States,2213,US11,Female,9.5,$169.00 ,10%,2014,1,$152.10 
1/2/14,United States,2206,US2,Female,9.5,$139.00 ,0%,2014,1,$139.00 
1/2/14,United States,2152,US15,Male,8,$139.00 ,0%,2014,1,$139.00 
1/3/14,Germany,2235,GER1,Male,10.5,$169.00 ,50%,2014,1,$84.50 
1/3/14,Germany,2197,GER1,Female,8.5,$179.00 ,20%,2014,1,$143.20 
1/3/14,Canada,2240,CAN6,Male,9.5,$199.00 ,30%,2014,1,$139.30 
1/3/14,United States,2221,US7,Male,11,$149.00 ,50%,2014,1,$74.50 
1/3/14,United States,2234,US6,Female,9.5,$159.00 ,0%,2014,1,$159.00 
1/3/14,United States,2197,US1,Male,10,$129.00 ,0%,2014,1,$129.00 
1/3/14,United States,2213,US11,Female,9.5,$169.00 ,10%,2014,1,$152.10 
1/3/14,United States,2213,US7,Female,8,$139.00 ,0%,2014,1,$139.00 
1/3/14,United States,2147,US15,Male,9.5,$139.00 ,0%,2014,1,$139.00 
1/4/14,United States,2224,US13,Male,9,$149.00 ,10%,2014,1,$134.10 
1/4/14,Germany,2206,GER2,Male,8.5,$149.00 ,20%,2014,1,$119.20 
1/4/14,Germany,2157,GER2,Male,12,$149.00 ,20%,2014,1,$119.20 
1/4/14,Canada,2169,CAN3,Female,8,$129.00 ,0%,2014,1,$129.00 
1/4/14,United States,2191,US13,Male,10.5,$139.00 ,0%,2014,1,$139.00 
1/4/14,United States,2234,US6,Female,9.5,$159.00 ,0%,2014,1,$159.00 
1/4/14,United States,2197,US1,Male,10,$129.00 ,0%,2014,1,$129.00 
1/4/14,United States,2173,US15,Male,10.5,$159.00 ,0%,2014,1,$159.00 
1/5/14,United Kingdom,2156,UK5,Female,8,$169.00 ,10%,2014,1,$152.10 
1/5/14,Germany,2235,GER1,Male,9.5,$169.00 ,30%,2014,1,$118.30 
1/5/14,Germany,2239,GER2,Female,8.5,$129.00 ,50%,2014,1,$64.50 
1/5/14,Canada,2169,CAN3,Female,8,$129.00 ,0%,2014,1,$129.00 
1/5/14,Germany,2235,GER1,Male,10.5,$169.00 ,50%,2014,1,$84.50 
1/5/14,United States,2154,US15,Male,11,$189.00 ,0%,2014,1,$189.00 
